masv,mahp,diem
2445,001,4.0
2446,016,4.5
2446,006,8.9
2446,014,9.2
2446,011,7.9
2446,010,5.2
2447,022,6.3
2447,018,4.8
2448,010,7.1
2448,022,5.0
2449,010,6.4
2449,013,6.0
2450,019,5.0
2450,018,9.5
2450,010,5.7
2450,015,9.8
2451,009,8.9
2451,019,8.8
2451,005,8.7
2452,013,7.4
2452,001,8.6
2452,012,6.7
2452,004,8.8
2453,004,9.0
2453,008,8.7
2454,009,5.8
2454,001,4.8
2454,011,7.1
2454,019,9.9
2454,020,4.0
2454,014,4.1
2455,015,6.3
2455,018,6.5
2455,009,9.4
2456,012,7.5
2456,011,9.1
2456,002,8.1
2456,013,4.4
2456,007,9.0
2457,020,4.3
2457,011,9.3
2458,016,8.1
2458,009,4.8
2458,011,9.2
2459,005,6.8
2459,011,7.0
2460,018,4.9
2460,020,5.0
2460,017,6.0
2460,015,4.8
2460,004,9.0
2460,011,8.1
2461,006,6.0
2461,014,5.2
2461,010,8.8
2461,019,8.0
2462,020,9.2
2462,015,7.4
2462,017,5.2
2462,001,4.9
2463,016,6.8
2463,013,7.7
2463,018,4.6
2463,010,9.2
2463,003,7.5
2464,011,8.4
2464,016,7.7
2465,018,9.3
2465,017,9.4
2465,016,5.5
2466,003,8.4
2466,007,7.4
2466,006,6.5
2466,018,4.3
2466,010,7.0
2467,004,8.5
2467,019,5.0
2467,001,8.4
2468,013,6.6
2468,008,9.8
2468,020,9.2
2469,017,4.7
2469,018,8.4
2470,017,9.0
2470,003,6.9
2470,010,6.7
2470,005,5.2
2471,014,8.5
2471,015,9.2
2471,002,8.7
2471,008,7.2
2472,017,9.7
2472,015,6.7
2472,010,6.2
2472,009,8.0
2473,003,9.4
2473,002,6.9
2473,012,6.2
2473,009,9.2
2473,019,8.2
2473,005,6.4
2473,020,6.9
2474,006,7.6
2474,012,9.0
2474,016,5.7
2474,009,6.8
2474,007,7.6
2474,021,9.1
2475,020,6.5
2475,004,8.6
2475,001,5.6
2475,008,4.4
2476,002,5.5
2476,007,5.4
2477,009,4.9
2477,003,6.1
2477,012,5.3
2477,011,6.9
2477,004,9.6
2477,007,9.5
2478,002,8.4
2478,011,9.7
2478,017,6.2
2478,015,8.7
2479,012,9.4
2479,020,6.8
2479,010,5.0
2480,007,7.5
2480,013,9.3
2480,011,4.5
2480,016,4.2
2480,001,9.7
2481,011,8.6
2481,015,6.2
2481,012,8.5
2482,021,6.2
2482,009,7.4
2482,003,9.4
2482,006,5.9
2482,017,7.7
2482,008,4.8
2483,006,4.8
2483,016,10.0
2483,005,5.7
2484,020,9.3
2484,021,7.6
2484,015,6.8
2484,009,10.0
2484,004,7.1
2485,007,4.0
2485,006,4.4
2486,018,8.4
2486,011,4.7
2486,022,7.8
2486,009,4.9
2487,001,6.5
2487,007,6.1
2487,022,6.2
2487,018,9.8
2487,013,6.5
2488,020,9.4
2488,001,8.8
2489,021,9.8
2489,011,7.0
2490,011,6.3
2490,015,5.7
2491,019,8.4
2491,022,6.9
2491,012,4.3
2492,003,7.2
2492,002,6.0
2492,011,8.6
2493,016,8.1
2493,002,4.8
2493,015,9.6
2493,020,8.1
2493,007,4.4
2494,011,9.4
2494,010,6.6
2494,007,6.1
2494,016,8.0
2494,001,4.7
2494,005,7.0
2495,015,5.7
2495,017,7.8
2495,005,8.0
2495,010,9.4
2496,021,6.9
2496,006,7.5
2496,001,8.9
2496,014,8.9
2496,002,8.2
2496,008,6.2
2497,015,8.4
2497,011,9.1
2497,016,8.6
2497,019,7.3
2497,013,4.3
2497,005,7.2
2498,015,7.5
2498,008,8.6
2498,005,9.8
2499,011,8.8
2499,009,4.4
2499,006,7.3
2500,015,9.0
2500,014,7.3
2500,021,6.8
2500,006,7.0
2500,012,7.9
2501,015,9.7
2501,010,6.3
2501,004,4.6
2502,007,7.3
2502,005,4.3
2502,012,9.3
2502,018,5.6
2503,010,9.5
2503,007,4.3
2503,013,7.0
2504,014,5.1
2504,011,9.3
2504,021,9.2
2504,016,5.2
2504,015,5.4
2505,001,7.3
2505,004,5.9
2505,016,9.4
2505,009,4.6
2506,021,7.6
2506,002,7.7
2506,017,8.6
2506,004,4.3
2506,014,9.2
2507,009,9.4
2507,001,8.6
2507,016,4.3
2507,013,4.8
2507,014,6.4
2508,007,4.5
2508,003,7.4
2508,016,7.3
2508,010,7.7
2508,004,4.7
2509,017,6.8
2509,018,6.8
2509,014,5.8
2509,021,5.8
2509,008,9.6
2509,015,8.5
2510,016,4.7
2510,007,8.6
2510,018,7.5
2511,022,4.2
2511,002,9.2
2512,011,9.0
2512,017,6.9
2513,006,9.7
2513,003,6.5
2513,009,5.9
2513,021,9.2
2513,013,4.8
2513,020,7.4
2514,007,8.1
2514,012,5.2
2514,015,9.2
2514,005,9.4
2514,008,4.3
2514,016,8.3
2515,013,9.1
2515,010,4.2
2516,015,7.2
2516,020,7.1
2516,013,6.3
2517,016,8.4
2517,021,9.9
2517,009,8.9
2517,003,7.8
2518,012,6.5
2518,016,4.4
2518,001,8.4
2518,020,8.4
2519,002,6.1
2519,012,9.6
2519,016,8.5
2519,015,9.5
2520,015,8.6
2520,017,5.7
2520,004,9.6
2520,007,6.9
2520,001,9.0
2520,014,7.3
2521,009,5.9
2521,006,8.3
2522,007,5.5
2522,018,6.9
2522,011,6.5
2522,014,5.7
2523,011,8.7
2523,008,5.1
2524,017,9.7
2524,007,5.0
2525,008,6.8
2525,015,7.4
2525,012,7.6
2525,005,8.0
2525,010,6.0
2525,004,6.3
2526,004,6.7
2526,017,8.4
2526,009,8.6
2527,021,7.7
2527,011,5.5
2527,019,4.5
2527,022,9.8
2527,007,6.3
2527,016,9.1
2528,010,4.9
2528,006,4.8
2529,009,4.4
2529,006,9.7
2529,018,7.5
2529,010,5.6
2529,001,5.8
2530,003,8.5
2530,016,9.5
2530,001,5.2
2530,006,5.7
2531,019,5.2
2531,020,8.1
2531,018,5.8
2531,022,8.3
2531,005,5.6
2531,009,6.2
2532,014,7.4
2532,009,8.5
2532,015,7.9
2532,007,9.3
2533,012,4.8
2533,007,4.8
2533,009,4.3
2533,022,4.5
2533,010,9.8
2533,020,7.4
2534,020,6.7
2534,017,8.3
2534,004,8.4
2534,019,8.9
2535,012,8.7
2535,021,6.0
2536,004,4.5
2536,019,9.1
2536,001,6.3
2536,012,4.5
2536,014,8.6
2537,018,5.8
2537,012,8.9
2538,008,5.3
2538,006,9.3
2538,005,9.2
2538,013,7.3
2538,016,5.5
2539,016,8.7
2539,015,6.5
2539,019,4.2
2539,018,8.7
2539,007,8.6
2540,010,5.1
2540,016,9.3
2540,001,9.9
2540,006,7.9
2541,018,6.1
2541,016,5.9
2541,012,4.8
2542,010,4.7
2542,007,9.2
2542,021,9.4
2542,001,9.2
2543,001,4.5
2543,009,9.1
2543,005,9.7
2543,014,8.4
2544,004,5.1
2544,017,9.3
2544,008,7.2
2544,007,8.0
2544,013,7.1
2544,014,8.2
2545,012,8.4
2545,009,5.1
2545,005,6.6
2545,003,7.2
2546,018,7.3
2546,016,5.4
2546,009,5.5
2546,012,9.8
2546,008,9.0
2547,006,7.9
2547,010,6.4
2547,004,9.7
2547,014,8.8
2547,021,4.1
2548,020,5.4
2548,017,8.3
2548,003,8.0
2548,010,9.5
2548,016,5.5
2549,008,7.7
2549,012,8.7
2549,014,5.7
2549,003,8.7
2549,017,8.0
2550,007,4.2
2550,018,6.3
2551,004,4.2
2551,018,9.5
2552,014,7.1
2552,005,4.1
2552,021,8.6
2552,006,7.3
2553,009,7.2
2553,002,9.6
2554,021,7.6
2554,013,8.2
2554,018,8.6
2554,011,5.8
2554,006,6.8
2555,006,7.9
2555,015,8.5
2555,021,6.5
2556,014,4.2
2556,007,4.7
2556,003,7.8
2556,016,6.1
2556,010,5.1
2556,006,8.6
2557,009,6.4
2557,007,7.0
2557,006,7.2
2558,019,5.8
2558,016,4.3
2558,020,6.6
2558,008,7.6
2559,006,4.4
2559,004,6.0
2559,003,6.2
2559,007,9.5
2559,019,9.6
2560,021,5.5
2560,014,9.2
2560,016,7.4
2560,006,4.8
2560,007,8.3
2560,017,7.7
2561,006,5.1
2561,011,10.0
2561,004,5.8
2561,016,8.8
2561,020,6.3
2561,017,6.3
2562,013,6.1
2562,002,9.9
2562,020,4.5
2562,011,7.3
2563,002,5.4
2563,013,6.3
2564,022,7.0
2564,018,8.5
2564,014,8.4
2564,004,7.5
2565,019,9.6
2565,016,9.1
2565,002,7.0
2565,011,8.6
2565,003,7.6
2565,008,6.9
2566,001,5.9
2566,010,4.1
2566,019,4.2
2567,011,7.5
2567,008,8.3
2567,002,9.1
2567,001,8.1
2568,003,5.6
2568,022,6.1
2568,016,8.3
2568,007,9.0
2568,020,4.4
2569,005,8.6
2569,006,8.4
2570,005,5.1
2570,022,4.9
2570,013,6.6
2570,006,6.5
2570,021,4.9
2570,009,9.2
2571,020,6.0
2571,015,7.8
2571,016,8.7
2571,013,9.8
2572,002,7.8
2572,004,5.9
2573,007,9.2
2573,022,5.5
2574,009,6.5
2574,012,8.0
2574,022,9.6
2574,011,6.7
2574,021,5.7
2575,017,8.1
2575,021,5.8
2575,010,6.0
2575,009,8.2
2575,015,9.0
2576,001,7.6
2576,018,8.5
2576,012,9.2
2576,020,8.0
2576,013,8.3
2577,013,6.5
2577,012,4.1
2578,015,6.6
2578,007,6.9
2578,002,9.9
2578,010,4.7
2578,013,9.0
2578,019,4.3
2579,004,6.4
2579,016,9.2
2579,021,6.4
2579,006,4.3
2579,010,8.0
2579,020,4.2
2580,013,5.4
2580,010,9.6
2580,018,7.3
2580,020,9.4
2581,003,6.2
2581,012,5.7
2581,005,9.1
2581,013,7.0
2581,015,5.9
2581,021,10.0
2582,019,7.0
2582,002,7.4
2582,013,9.9
2582,022,9.2
2582,016,9.2
2582,020,7.1
2583,008,6.0
2583,012,7.2
2583,001,4.7
2583,018,5.6
2583,007,9.0
2583,013,4.0
2584,013,4.0
2584,007,9.5
2584,008,6.4
2585,009,6.4
2585,008,7.2
2585,022,8.6
2585,012,5.6
2585,016,4.8
2585,018,8.9
2586,020,4.5
2586,014,4.3
2586,010,9.7
2586,002,6.3
2586,012,4.9
2586,006,6.7
2587,017,4.6
2587,007,4.6
2588,020,7.7
2588,003,8.0
2588,001,8.6
2589,022,8.3
2589,005,9.5
2589,021,7.2
2590,017,5.3
2590,001,6.9
2590,016,6.2
2590,003,4.9
2590,021,5.7
2590,005,5.7
2591,022,8.2
2591,004,7.4
2592,016,9.8
2592,010,8.3
2592,020,7.2
2593,008,4.1
2593,016,4.8
2593,020,8.0
2594,022,5.2
2594,008,5.1
2594,016,6.0
2595,012,6.9
2595,021,6.5
2595,006,5.4
2596,021,6.2
2596,007,7.3
2596,011,4.4
2596,017,9.9
2596,009,5.4
2597,022,6.3
2597,011,8.6
2597,019,7.4
2597,020,9.7
2597,013,4.6
2598,015,6.9
2598,003,4.2
2598,004,7.4
2598,022,8.7
2598,016,4.5
2599,010,7.7
2599,005,6.0
2599,019,6.9
2599,011,6.2
2599,003,7.5
2599,006,4.2
2600,003,5.1
2600,010,8.6
2600,014,9.0
2601,021,9.3
2601,006,4.9
2601,012,8.7
2601,014,8.5
2602,012,7.0
2602,006,4.2
2602,013,8.2
2602,009,6.8
2602,020,9.1
2602,015,7.8
2603,011,4.8
2603,010,5.0
2603,019,7.2
2603,009,7.7
2603,015,9.4
2603,013,4.3
2604,016,6.3
2604,014,9.0
2604,013,4.2
2604,011,8.8
2605,010,5.7
2605,020,7.1
2605,014,4.4
2605,017,9.2
2605,009,8.8
2606,008,5.4
2606,006,7.9
2607,007,4.5
2607,002,5.2
2608,020,5.1
2608,004,7.0
2608,014,6.9
2609,021,5.5
2609,019,4.1
2609,006,7.4
2609,022,6.8
2610,021,7.8
2610,020,9.5
2610,004,9.4
2610,012,9.1
2610,011,6.5
2610,016,7.9
2611,004,7.7
2611,017,5.2
2611,008,5.9
2611,010,6.3
2611,009,7.4
2611,020,6.1
2612,021,5.6
2612,011,6.7
2612,004,9.2
2612,007,6.3
2612,014,6.2
2613,004,5.9
2613,001,7.5
2613,017,8.3
2613,019,9.4
2613,016,5.1
2613,018,4.3
2614,002,9.3
2614,016,9.5
2614,015,8.7
2615,017,5.4
2615,022,6.4
2615,004,6.2
2615,013,4.5
2616,001,5.0
2616,016,9.6
2616,002,6.3
2616,003,4.6
2616,020,4.5
2617,002,7.0
2617,015,4.8
2617,011,7.7
2618,018,9.1
2618,017,9.2
2618,015,8.9
2619,011,5.6
2619,006,7.8
2620,008,7.5
2620,009,7.6
2620,007,8.4
2620,004,9.1
2620,001,9.0
2621,007,6.6
2621,020,6.3
2621,012,5.2
2622,012,4.3
2622,005,5.3
2622,009,5.0
2622,013,9.3
2622,010,7.1
2622,007,7.4
2623,008,9.9
2623,020,6.3
2623,009,5.6
2624,019,4.8
2624,021,8.5
2624,012,7.3
2624,015,5.9
2624,001,6.1
2624,022,6.3
2625,002,4.0
2625,020,7.6
2625,017,7.2
2626,004,9.6
2626,021,9.4
2626,005,4.4
2626,010,9.4
2627,011,6.1
2627,012,7.4
2627,001,5.0
2627,019,8.1
2628,010,7.5
2628,017,8.7
2628,004,7.8
2628,009,7.4
2629,005,5.0
2629,007,4.8
2629,008,5.3
2630,020,8.5
2630,022,9.1
2631,014,6.3
2631,005,6.8
2631,018,4.7
2631,003,9.9
2632,005,8.0
2632,003,7.8
2632,002,9.8
2632,015,4.8
2632,020,9.1
2633,002,5.1
2633,013,7.7
2633,014,5.8
2634,009,4.9
2634,003,7.4
2635,005,6.3
2635,012,7.4
2635,002,5.8
2635,015,5.3
2635,006,4.0
2635,013,4.9
2636,019,4.7
2636,013,8.5
2636,001,5.8
2637,016,9.5
2637,017,8.5
2637,014,4.6
2638,001,4.7
2638,003,7.8
2638,019,5.5
2638,021,9.5
2639,018,5.5
2639,010,6.2
2639,009,7.6
2639,019,7.8
2639,022,9.8
2640,012,6.1
2640,005,7.5
2640,022,9.6
2640,013,7.6
2640,006,7.3
2640,016,9.5
2641,012,4.8
2641,010,6.8
2641,014,5.6
2642,006,6.4
2642,019,9.3
2643,020,9.3
2643,009,9.5
2644,002,9.0
2644,007,4.9
2644,001,9.8
2644,012,4.2
2644,015,9.1
2645,011,6.8
2645,017,8.5
2645,010,6.7
2646,014,5.3
2646,011,8.0
2646,002,7.8
2647,021,4.4
2647,012,8.4
2648,022,6.9
2648,014,5.5
2648,002,9.9
2648,001,5.7
2649,017,4.4
2649,011,4.6
2649,016,7.1
2649,021,5.5
2650,001,5.1
2650,013,6.2
2650,014,6.4
2651,014,8.7
2651,001,8.5
2652,018,9.9
2652,001,8.5
2652,022,7.1
2652,019,7.9
2653,018,5.2
2653,006,8.5
2653,009,5.4
2654,014,8.2
2654,003,5.2
2655,010,7.0
2655,016,8.0
2655,015,5.4
2656,018,5.0
2656,007,8.6
2656,001,4.0
2657,007,8.0
2657,005,6.1
2657,012,9.6
2658,015,4.8
2658,012,7.0
2658,003,5.7
2659,002,6.7
2659,017,9.8
2659,011,9.4
2659,005,7.0
2659,003,6.3
2660,020,4.7
2660,010,8.1
2660,021,8.8
2660,003,7.0
2660,004,6.1
2661,002,6.1
2661,022,4.8
2661,016,4.2
2662,009,5.5
2662,001,9.8
2662,004,4.9
2662,014,4.9
2662,015,6.3
2663,001,6.0
2663,020,8.6
2663,012,7.4
2663,007,7.8
2664,009,9.7
2664,012,5.4
2664,004,6.4
2664,011,6.3
2665,011,9.3
2665,008,5.3
2666,014,6.4
2666,017,5.7
2666,011,10.0
2666,015,5.0
2666,022,7.0
2667,020,6.7
2667,005,7.6
2667,018,6.1
2667,019,8.1
2667,022,9.1
2668,003,6.3
2668,021,8.9
2669,022,4.3
2669,009,9.3
2669,011,6.3
2669,014,4.1
2669,004,6.0
2669,006,7.1
2670,006,9.0
2670,012,6.9
2670,016,9.2
2671,019,8.9
2671,022,8.1
2671,015,9.0
2672,012,9.6
2672,020,6.4
2672,003,7.7
2672,001,7.2
2673,015,6.1
2673,014,8.2
2673,013,8.0
2673,006,6.6
2673,010,7.9
2674,019,9.0
2674,011,9.4
2674,016,8.9
2674,008,5.6
2674,007,6.2
2675,018,9.0
2675,012,5.5
2675,022,6.2
2675,009,9.9
2676,017,9.4
2676,015,5.3
2676,012,8.4
2676,003,7.8
2677,011,9.5
2677,010,6.4
2677,022,8.3
2677,003,8.3
2677,015,8.7
2678,006,5.5
2678,018,7.3
2678,022,7.5
2678,020,7.8
2679,008,9.5
2679,021,9.1
2679,015,8.4
2680,012,8.2
2680,013,9.5
2680,015,9.1
2680,007,6.4
2680,001,4.9
2680,003,9.7
2681,020,7.6
2681,003,9.3
2681,005,7.6
2681,017,8.8
2681,015,9.3
2681,014,4.8
2682,017,8.0
2682,014,9.6
2682,013,5.6
2682,019,9.7
2682,010,6.3
2682,012,8.9
2683,013,5.5
2683,022,5.1
2683,021,5.3
2683,005,10.0
2684,006,7.8
2684,005,4.6
2684,010,5.6
2685,017,4.1
2685,013,7.7
2686,013,5.2
2686,016,9.0
2686,022,6.9
2686,021,7.7
2686,001,5.6
2687,009,5.1
2687,006,4.5
2687,005,6.8
2687,016,8.5
2688,002,7.5
2688,006,5.2
2688,012,8.3
2689,009,8.3
2689,002,4.8
2689,015,10.0
2689,014,6.7
2690,018,9.4
2690,013,5.3
2690,009,8.2
2691,002,8.3
2691,007,9.9
2691,018,9.9
2691,020,6.4
2691,008,9.4
2692,012,8.0
2692,005,7.1
2693,015,6.2
2693,022,7.3
2693,018,7.0
2694,009,9.0
2694,006,6.8
2694,022,5.6
2695,005,6.7
2695,021,7.2
2695,012,9.4
2696,012,4.6
2696,013,8.3
2696,018,5.2
2697,003,4.9
2697,017,6.3
2697,008,6.5
2698,020,9.1
2698,008,6.9
2699,005,7.7
2699,012,7.1
2699,022,4.1
2699,013,5.4
2699,011,9.2
2700,022,7.9
2700,014,5.5
2700,012,8.1
2700,008,5.7
2700,005,6.2
2701,013,4.0
2701,005,4.0
2701,009,9.4
2701,008,8.2
2702,005,7.0
2702,022,6.8
2702,017,6.5
2702,020,6.4
2703,011,4.8
2703,007,5.9
2704,018,9.2
2704,020,9.7
2704,005,8.7
2704,013,7.5
2705,017,8.1
2705,002,7.1
2706,001,7.9
2706,020,8.4
2706,013,6.4
2706,009,7.2
2706,021,7.4
2707,018,6.9
2707,008,4.6
2707,011,7.6
2707,005,5.5
2707,002,5.3
2708,017,6.0
2708,001,8.3
2708,015,6.1
2708,011,7.6
2709,010,8.1
2709,019,6.3
2709,016,4.1
2710,010,4.7
2710,014,9.4
2710,016,5.0
2711,006,9.8
2711,001,9.2
2711,022,9.4
2711,021,6.0
2711,007,9.8
2711,009,7.7
2712,022,7.2
2712,016,4.4
2712,005,8.6
2713,022,4.4
2713,011,7.9
2714,020,6.6
2714,005,8.5
2715,017,5.8
2715,021,4.4
2715,006,9.0
2715,015,7.2
2715,011,9.8
2715,016,7.7
2716,013,8.4
2716,014,8.6
2716,018,9.1
2717,022,8.8
2717,002,8.1
2717,011,7.9
2717,008,6.6
2717,015,4.2
2718,006,5.1
2718,010,4.8
2718,020,6.2
2718,002,8.9
2718,011,5.8
2718,017,7.7
2719,011,7.1
2719,006,5.1
2719,014,8.0
2720,011,5.7
2720,010,7.8
2720,021,6.3
2720,007,4.0
2720,003,9.2
2720,002,8.7
2721,003,6.8
2721,011,7.4
2721,016,7.6
2721,012,6.4
2722,010,4.1
2722,016,8.3
2722,020,4.7
2722,013,9.7
2723,003,7.5
2723,011,8.6
2724,008,9.1
2724,019,8.5
2724,020,5.0
2725,022,6.1
2725,010,4.4
2725,014,10.0
2725,017,6.9
2725,012,8.8
2725,005,9.7
2726,013,9.8
2726,001,6.3
2726,020,6.5
2726,006,4.1
2726,010,4.8
2726,008,7.8
2727,014,7.9
2727,007,8.5
2727,005,8.3
2727,002,5.6
2728,001,5.0
2728,009,7.1
2728,008,7.9
2728,019,9.6
2728,018,5.0
2728,003,4.8
2729,018,4.0
2729,004,10.0
2729,011,4.6
2729,015,7.6
2729,016,9.9
2730,007,4.2
2730,002,8.1
2731,016,6.8
2731,008,6.6
2731,006,7.8
2732,021,6.6
2732,019,6.8
2733,005,8.5
2733,018,9.8
2734,012,4.2
2734,014,5.7
2734,005,6.8
2734,009,7.9
2735,020,9.1
2735,006,5.5
2735,002,7.6
2735,016,7.5
2735,007,5.8
2735,017,6.7
2736,019,5.0
2736,003,5.7
2736,011,9.5
2737,019,8.7
2737,003,9.2
2737,017,8.9
2737,010,9.2
2737,009,9.4
2738,005,8.2
2738,010,5.0
2738,012,6.8
2738,006,8.3
2738,013,7.6
2739,011,4.3
2739,016,9.3
2739,012,6.7
2739,021,6.3
2740,003,6.1
2740,001,6.3
2740,002,5.2
2740,004,7.1
2740,005,7.0
2740,017,7.0
2741,010,5.3
2741,011,8.7
2742,017,8.2
2742,012,4.9
2742,016,7.0
2743,018,9.8
2743,004,7.5
2744,004,5.9
2744,021,5.0
2744,013,5.6
2744,010,8.0
2744,016,9.3
2745,006,9.9
2745,010,4.4
2745,009,9.7
2745,004,9.9
2745,002,5.6
2746,010,8.6
2746,017,7.0
2746,012,9.8
2746,004,7.1
2746,020,8.8
2746,001,9.2
2747,018,6.5
2747,007,6.7
2747,001,9.6
2747,009,6.7
2747,011,7.4
2748,012,7.1
2748,007,9.2
2748,021,7.6
2749,015,8.6
2749,010,8.5
2750,010,8.9
2750,006,4.0
2750,005,9.1
2750,022,8.1
2750,013,4.4
2750,009,5.9
2751,020,6.5
2751,006,8.1
2751,004,8.2
2751,012,8.4
2751,013,8.4
2752,009,5.1
2752,016,8.4
2753,018,4.5
2753,022,4.3
2753,006,6.5
2753,003,4.2
2754,003,6.6
2754,021,7.4
2754,004,9.0
2755,021,5.0
2755,011,4.5
2755,001,5.2
2756,011,7.2
2756,002,4.5
2756,003,8.3
2756,007,8.6
2756,014,9.3
2756,013,9.1
2757,009,8.6
2757,001,9.5
2757,016,4.9
2757,004,4.3
2758,016,4.6
2758,011,5.6
2758,018,5.5
2759,001,9.3
2759,015,9.8
2759,010,5.4
2760,019,6.5
2760,015,6.3
2760,021,4.7
2761,007,5.7
2761,010,4.3
2762,019,9.3
2762,007,7.4
2762,005,5.1
2763,011,8.5
2763,006,7.7
2763,016,8.9
2763,004,8.6
2764,013,4.2
2764,009,4.4
2764,021,8.8
2765,020,7.1
2765,017,5.0
2765,004,7.1
2765,016,5.0
2765,001,5.0
2766,021,6.1
2766,011,9.2
2766,009,8.3
2767,003,9.2
2767,015,7.1
2767,020,4.7
2767,021,8.0
2767,012,9.8
2767,005,9.4
2768,020,6.1
2768,007,5.6
2768,011,5.0
2768,001,9.6
2768,004,9.0
2768,006,4.9
2769,014,4.4
2769,012,7.1
2769,006,5.3
2769,005,9.1
2770,006,9.5
2770,018,8.3
2771,008,4.3
2771,009,8.7
2771,005,5.0
2772,003,7.0
2772,012,5.1
2773,008,4.6
2773,017,5.6
2773,001,5.3
2773,021,6.8
2773,006,4.1
2773,009,7.7
2774,004,8.2
2774,003,9.3
2774,016,9.8
2775,016,4.3
2775,007,9.2
2776,010,9.6
2776,015,4.5
2777,001,8.0
2777,002,7.7
2777,005,7.2
2777,009,9.3
2778,022,4.8
2778,008,8.4
2778,019,4.2
2779,005,7.0
2779,007,5.5
2779,016,4.8
2779,009,5.1
2779,013,4.7
2779,004,6.1
2780,007,7.2
2780,004,4.2
2781,001,8.9
2781,018,6.5
2781,019,9.5
2781,017,6.4
2781,015,5.7
2781,020,9.0
2782,009,5.4
2782,008,5.6
2782,013,8.6
2782,003,5.5
2782,016,6.4
2782,005,4.8
2783,019,6.6
2783,020,5.9
2783,001,4.7
2784,003,5.2
2784,009,9.5
2784,018,7.7
2784,015,4.5
2784,004,6.6
2785,002,5.6
2785,019,6.8
2785,004,6.4
2786,006,9.3
2786,001,5.7
2786,015,9.9
2786,012,9.9
2786,016,8.6
2787,017,6.9
2787,019,4.2
2787,013,5.5
2787,015,6.9
2787,012,7.8
2788,015,4.4
2788,019,8.4
2789,019,6.7
2789,022,6.6
2790,005,8.1
2790,013,8.1
2790,019,5.0
2790,012,7.0
2790,010,6.9
2791,002,9.5
2791,001,8.4
2791,012,5.3
2792,022,7.6
2792,013,4.0
2792,019,6.7
2792,008,9.7
2792,002,4.1
2792,003,6.3
